Typology,DP_Real,EO_Real,DP_Aug,EO_Aug
0,1.0,1.0,0.8461538461538461,0.8461538461538461
1,1.0,1.0,0.782051282051282,0.782051282051282
2,1.0,1.0,0.3589041095890411,0.3589041095890411
3,1.0,1.0,0.4731182795698925,0.4731182795698925
4,1.0,1.0,0.8243243243243243,0.8243243243243243
5,1.0,1.0,0.4782608695652174,0.4782608695652174
6,1.0,1.0,0.4854111405835544,0.4854111405835544
7,1.0,1.0,0.2836676217765043,0.2836676217765043
8,1.0,1.0,0.9072681704260651,0.9072681704260651
9,1.0,1.0,0.3488372093023256,0.3488372093023256
10,1.0,1.0,0.3990719257540603,0.3990719257540603
11,0.01622442455242967,0.01622442455242967,0.01377464677870046,0.01377464677870046
12,0.4943537534374817,0.4943537534374817,0.4741124688712573,0.4741124688712573
13,0.6743780343033176,0.6743780343033176,0.6733496477945737,0.6733496477945737
14,0.8000906284736073,0.8000906284736073,0.8083761939750184,0.8083761939750184
15,0.0008587376556462001,0.0008587376556462001,0.029844807003581376,0.029844807003581376
16,0.00465005770144593,0.00465005770144593,0.007321805145508224,0.007321805145508224
17,0.35496124031007753,0.35496124031007753,0.3304374102893405,0.3304374102893405
18,0.04661428445307672,0.04661428445307672,0.045209294230267164,0.045209294230267164
19,0.10214521452145214,0.10214521452145214,0.1651104886399004,0.1651104886399004
20,0.6851695177565466,0.6851695177565466,0.6854359074791787,0.6854359074791787
21,0.23150151449588924,0.23150151449588924,0.4512241054613936,0.4512241054613936
22,1.0,1.0,0.6243243243243243,0.6243243243243243
23,1.0,1.0,0.3183023872679045,0.3183023872679045
24,1.0,1.0,0.5891089108910891,0.5891089108910891
25,1.0,1.0,0.5730088495575221,0.5730088495575221
26,1.0,1.0,0.4921052631578947,0.4921052631578947
27,1.0,1.0,0.748792270531401,0.748792270531401
