Typology,Avg_Intra_Typology_Distance
0,0.0012590740744605016
4,0.0033679683037717368
10,0.008493855995401957
5,0.008964648420876046
6,0.009747042621814757
9,0.01092790620856196
25,0.01394790784935125
21,0.014983375822007391
12,0.01504606254970565
20,0.015605173841525148
14,0.017939099598091975
8,0.019346699445572223
15,0.019691326953008778
1,0.019744612636535836
26,0.0200213776664734
13,0.02035260558200583
16,0.02059687788195465
17,0.020952941961445114
18,0.020958685198322953
11,0.02171383788371933
3,0.022046687974549103
19,0.023559895806210127
27,0.023731491363051915
23,0.02456343227370537
24,0.027653887793969847
2,0.030629031131458706
22,0.03242698547280361
7,0.03296542348171031
